"key","opponent","week","event_type","probability","proj","actual","name.team","owner.team","pic.team","name.oppo","owner.oppo","pic.oppo"
"399.l.605636.t.4","399.l.605636.t.5",7,"preevent",0.36,118.73,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png"
"399.l.605636.t.4","399.l.605636.t.6",8,"preevent",0.43,112.13,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg"
"399.l.605636.t.4","399.l.605636.t.7",9,"preevent",0.38,117.19,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg"
"399.l.605636.t.4","399.l.605636.t.8",10,"preevent",0.22,101.44,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg"
"399.l.605636.t.4","399.l.605636.t.9",11,"preevent",0.56,144.17,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg"
"399.l.605636.t.4","399.l.605636.t.10",12,"preevent",0.45,135.7,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg"
"399.l.605636.t.4","399.l.605636.t.11",13,"preevent",0.66,146.85,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg"
"399.l.605636.t.5","399.l.605636.t.9",1,"preevent",0.41,144.1,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg"
"399.l.605636.t.5","399.l.605636.t.10",2,"preevent",0.5,144.9,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg"
"399.l.605636.t.5","399.l.605636.t.11",3,"preevent",0.46,135.35,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg"
